name,email,gender,skillLevel,role,canteach,wantstolearn,timestamp
anne potts,everettmichael@example.org,Male,Beginner,Teacher,Excel,,2025-07-17 11:59:59
cheryl clark,nicolesharp@example.org,Male,Beginner,Teacher,Communication,,2025-07-17 11:59:59
connor meyer,imartinez@example.com,Prefer not to tell,Advanced,Learner,,Python,2025-07-17 11:59:59
craig hughes,april92@example.net,Female,Advanced,Learner,,SQL,2025-07-17 11:59:59
angela lucas,davidcarson@example.net,Male,Intermediate,Learner,,Python,2025-07-17 11:59:59
howard harvey,jlamb@example.com,Female,Intermediate,Teacher,Data Analysis,,2025-07-17 11:59:59
debra chung,mariapena@example.org,Female,Beginner,Teacher,Communication,,2025-07-17 11:59:59
adam hall,justin53@example.com,Prefer not to tell,Intermediate,Teacher,Data Analysis,,2025-07-17 11:59:59
william preston,newtondennis@example.org,Prefer not to tell,Advanced,Learner,,Excel,2025-07-17 11:59:59
brian miller,cookbrian@example.org,Male,Advanced,Learner,,Excel,2025-07-17 11:59:59
joe clarke,youngmichael@example.net,Prefer not to tell,Beginner,Teacher,Power BI,,2025-07-17 11:59:59
carrie thomas,hansensandra@example.com,Female,Advanced,Learner,,Power BI,2025-07-17 11:59:59
victoria henderson,breannamyers@example.com,Male,Intermediate,Learner,,SQL,2025-07-17 11:59:59
john lambert,jensenchase@example.org,Male,Advanced,Learner,,Power BI,2025-07-17 11:59:59
calvin campbell,kthomas@example.com,Prefer not to tell,Advanced,Teacher,Excel,,2025-07-17 11:59:59
kathy golden,shane94@example.org,Female,Beginner,Teacher,Communication,,2025-07-17 11:59:59
randy aguilar,vmassey@example.org,Male,Advanced,Learner,,Data Analysis,2025-07-17 11:59:59
kenneth wilson,tristan01@example.com,Female,Advanced,Learner,,Python,2025-07-17 11:59:59
sandra moreno,jason18@example.net,Prefer not to tell,Beginner,Learner,,Python,2025-07-17 11:59:59
alicia morrison,ccalhoun@example.org,Male,Intermediate,Teacher,Data Analysis,,2025-07-17 11:59:59
carl simpson,manuel79@example.net,Male,Intermediate,Learner,,Communication,2025-07-17 11:59:59
elizabeth peterson,kimberlygreen@example.net,Prefer not to tell,Intermediate,Learner,,SQL,2025-07-17 11:59:59
steven bell,wsalazar@example.net,Female,Beginner,Teacher,Data Analysis,,2025-07-17 11:59:59
michael silva,warnerwilliam@example.net,Prefer not to tell,Advanced,Learner,,Power BI,2025-07-17 11:59:59
michael cook,rebeccapadilla@example.org,Prefer not to tell,Intermediate,Teacher,Excel,,2025-07-17 11:59:59
john johnson,adrian19@example.org,Female,Advanced,Learner,,SQL,2025-07-17 11:59:59
mr. david jacobs,travisveronica@example.net,Prefer not to tell,Beginner,Learner,,Python,2025-07-17 11:59:59
jared wheeler,desiree25@example.com,Female,Intermediate,Teacher,Power BI,,2025-07-17 11:59:59
diane bailey,madisonmcfarland@example.org,Male,Intermediate,Teacher,Power BI,,2025-07-17 11:59:59
ashley castro,fuentesjames@example.net,Female,Beginner,Teacher,Python,,2025-07-17 11:59:59
kyle lee,georgehorton@example.net,Female,Beginner,Teacher,Python,,2025-07-17 11:59:59
susan lopez,harrisscott@example.org,Female,Beginner,Teacher,SQL,,2025-07-17 11:59:59
tony romero,brownmichelle@example.net,Male,Intermediate,Learner,,SQL,2025-07-17 11:59:59
daniel brown,william88@example.com,Male,Advanced,Learner,,Communication,2025-07-17 11:59:59
beverly smith md,jamesmccann@example.org,Female,Advanced,Teacher,Excel,,2025-07-17 11:59:59
anthony ryan,isanchez@example.net,Female,Beginner,Learner,,Python,2025-07-17 11:59:59
dennis ho,rachel92@example.org,Prefer not to tell,Advanced,Learner,,Power BI,2025-07-17 11:59:59
eddie smith,mwest@example.org,Male,Advanced,Teacher,Excel,,2025-07-17 11:59:59
seth montes,crystal00@example.com,Prefer not to tell,Beginner,Learner,,Python,2025-07-17 11:59:59
edward davis,brownwendy@example.net,Prefer not to tell,Beginner,Teacher,Python,,2025-07-17 11:59:59
andrew larsen,hamiltonwilliam@example.com,Male,Intermediate,Teacher,Data Analysis,,2025-07-17 11:59:59
taylor washington,brandonbenjamin@example.com,Female,Intermediate,Teacher,Data Analysis,,2025-07-17 11:59:59
leonard bruce,watersdaniel@example.org,Female,Advanced,Learner,,Data Analysis,2025-07-17 11:59:59
benjamin page,brucemedina@example.net,Male,Intermediate,Teacher,SQL,,2025-07-17 11:59:59
shelly jones,stacey78@example.com,Male,Beginner,Teacher,SQL,,2025-07-17 11:59:59
tyler arnold,kimberly11@example.net,Male,Advanced,Teacher,Power BI,,2025-07-17 11:59:59
james fernandez phd,bernardnicholas@example.net,Male,Advanced,Learner,,Python,2025-07-17 11:59:59
ms. rebecca hill,garciajustin@example.org,Prefer not to tell,Advanced,Teacher,Data Analysis,,2025-07-17 11:59:59
gabriel vaughn,charleswright@example.org,Prefer not to tell,Intermediate,Teacher,SQL,,2025-07-17 11:59:59
jimmy thompson,dylanfloyd@example.net,Prefer not to tell,Intermediate,Teacher,SQL,,2025-07-17 11:59:59
matthew ward,eallen@example.com,Prefer not to tell,Advanced,Teacher,Excel,,2025-07-17 11:59:59
emma guerra,wigginsjennifer@example.com,Male,Advanced,Teacher,Power BI,,2025-07-17 11:59:59
